run_id,baseline,model_profile,model_name,base_model_memory_mb,reserve_target_mb,full_res,global_res,roi_res,roi_count_requested,roi_count_effective,adapter_count,active_top_k_requested,active_top_k_effective,adapter_structure,visual_tokens,visual_memory_mb,resident_adapter_memory_mb,temporary_load_buffer_mb,estimated_peak_memory_mb,estimated_peak_memory_gb,reserve_pass,reserve_headroom_mb,load_count,evict_count,hold_count,latency_proxy_ms,policy_trace
costsim-00047,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,16,1,1,independent_all_resident,3456,2142.72,2880,96,14118.72,13.788,True,6873.28,1,0,0,98.02,n/a
costsim-00048,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,16,2,2,independent_all_resident,3456,2142.72,2880,96,14118.72,13.788,True,6873.28,2,0,0,116.02,n/a
costsim-00049,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,16,4,4,independent_all_resident,3456,2142.72,2880,96,14118.72,13.788,True,6873.28,4,0,0,152.02,n/a
costsim-00050,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,32,1,1,independent_all_resident,3456,2142.72,5760,96,16998.72,16.6,True,3993.28,1,0,0,98.02,n/a
costsim-00051,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,32,2,2,independent_all_resident,3456,2142.72,5760,96,16998.72,16.6,True,3993.28,2,0,0,116.02,n/a
costsim-00052,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,336x336,5,5,32,4,4,independent_all_resident,3456,2142.72,5760,96,16998.72,16.6,True,3993.28,4,0,0,152.02,n/a
costsim-00053,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,4,1,1,independent_all_resident,1600,992.0,720,96,10808.0,10.555,True,10184.0,1,0,0,77.6,n/a
costsim-00054,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,4,2,2,independent_all_resident,1600,992.0,720,96,10808.0,10.555,True,10184.0,2,0,0,95.6,n/a
costsim-00055,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,4,4,4,independent_all_resident,1600,992.0,720,96,10808.0,10.555,True,10184.0,4,0,0,131.6,n/a
costsim-00056,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,8,1,1,independent_all_resident,1600,992.0,1440,96,11528.0,11.258,True,9464.0,1,0,0,77.6,n/a
costsim-00057,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,8,2,2,independent_all_resident,1600,992.0,1440,96,11528.0,11.258,True,9464.0,2,0,0,95.6,n/a
costsim-00058,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,8,4,4,independent_all_resident,1600,992.0,1440,96,11528.0,11.258,True,9464.0,4,0,0,131.6,n/a
costsim-00059,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,16,1,1,independent_all_resident,1600,992.0,2880,96,12968.0,12.664,True,8024.0,1,0,0,77.6,n/a
costsim-00060,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,16,2,2,independent_all_resident,1600,992.0,2880,96,12968.0,12.664,True,8024.0,2,0,0,95.6,n/a
costsim-00061,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,16,4,4,independent_all_resident,1600,992.0,2880,96,12968.0,12.664,True,8024.0,4,0,0,131.6,n/a
costsim-00062,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,32,1,1,independent_all_resident,1600,992.0,5760,96,15848.0,15.477,True,5144.0,1,0,0,77.6,n/a
costsim-00063,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,32,2,2,independent_all_resident,1600,992.0,5760,96,15848.0,15.477,True,5144.0,2,0,0,95.6,n/a
costsim-00064,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,1,1,32,4,4,independent_all_resident,1600,992.0,5760,96,15848.0,15.477,True,5144.0,4,0,0,131.6,n/a
costsim-00065,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,4,1,1,independent_all_resident,3648,2261.76,720,96,12077.76,11.795,True,8914.24,1,0,0,100.13,n/a
costsim-00066,B4-lite,compact_7b_4bit,Compact 7B 4-bit VLM proxy,9000,2048,1344x1344,336x336,448x448,3,3,4,2,2,independent_all_resident,3648,2261.76,720,96,12077.76,11.795,True,8914.24,2,0,0,118.13,n/a
